time_step,drone,x,y
0,drone1,3,3
0,drone2,12,3
0,drone3,21,3
0,drone4,3,12
0,drone5,12,12
0,drone6,21,12
1,drone1,2,3
1,drone2,13,3
1,drone3,22,3
1,drone4,4,12
1,drone5,13,12
1,drone6,22,12
2,drone1,1,3
2,drone2,13,4
2,drone3,23,3
2,drone4,3,12
2,drone5,14,12
2,drone6,23,12
3,drone1,0,3
3,drone2,14,4
3,drone3,24,3
3,drone4,2,12
3,drone5,15,12
3,drone6,24,12
4,drone1,0,4
4,drone2,15,4
4,drone3,24,4
4,drone4,1,12
4,drone5,16,12
4,drone6,24,13
5,drone1,1,4
5,drone2,16,4
5,drone3,23,4
5,drone4,0,12
5,drone5,17,12
5,drone6,24,14
6,drone1,2,4
6,drone2,16,5
6,drone3,22,4
6,drone4,0,13
6,drone5,18,12
6,drone6,24,15
7,drone1,3,4
7,drone2,17,5
7,drone3,21,4
7,drone4,1,13
7,drone5,19,12
7,drone6,24,16
8,drone1,3,5
8,drone2,17,6
8,drone3,20,4
8,drone4,2,13
8,drone5,20,12
8,drone6,24,17
9,drone1,2,5
9,drone2,16,6
9,drone3,19,4
9,drone4,3,13
9,drone5,21,12
9,drone6,24,18
10,drone1,2,6
10,drone2,15,6
10,drone3,18,4
10,drone4,4,13
10,drone5,21,13
10,drone6,24,19
11,drone1,1,6
11,drone2,14,6
11,drone3,17,4
11,drone4,5,13
11,drone5,22,13
11,drone6,24,20
12,drone1,0,6
12,drone2,13,6
12,drone3,17,3
12,drone4,6,13
12,drone5,23,13
12,drone6,24,21
13,drone1,0,7
13,drone2,12,6
13,drone3,18,3
13,drone4,7,13
13,drone5,23,14
13,drone6,24,22
14,drone1,1,7
14,drone2,11,6
14,drone3,19,3
14,drone4,8,13
14,drone5,22,14
14,drone6,24,23
15,drone1,2,7
15,drone2,10,6
15,drone3,20,3
15,drone4,9,13
15,drone5,21,14
15,drone6,24,24
16,drone1,3,7
16,drone2,9,6
16,drone3,21,3
16,drone4,10,13
16,drone5,20,14
16,drone6,23,24
17,drone1,4,7
17,drone2,9,7
17,drone3,21,2
17,drone4,11,13
17,drone5,19,14
17,drone6,22,24
18,drone1,5,7
18,drone2,10,7
18,drone3,22,2
18,drone4,12,13
18,drone5,18,14
18,drone6,21,24
19,drone1,6,7
19,drone2,11,7
19,drone3,23,2
19,drone4,13,13
19,drone5,17,14
19,drone6,20,24
20,drone1,7,7
20,drone2,12,7
20,drone3,24,2
20,drone4,14,13
20,drone5,17,15
20,drone6,19,24
21,drone1,8,7
21,drone2,13,7
21,drone3,24,1
21,drone4,15,13
21,drone5,18,15
21,drone6,18,24
22,drone1,8,8
22,drone2,14,7
22,drone3,23,1
22,drone4,16,13
22,drone5,19,15
22,drone6,17,24
23,drone1,7,8
23,drone2,15,7
23,drone3,22,1
23,drone4,17,13
23,drone5,20,15
23,drone6,16,24
24,drone1,7,9
24,drone2,16,7
24,drone3,21,1
24,drone4,18,13
24,drone5,21,15
24,drone6,15,24
25,drone1,6,9
25,drone2,17,7
25,drone3,20,1
25,drone4,19,13
25,drone5,22,15
25,drone6,14,24
26,drone1,5,9
26,drone2,18,7
26,drone3,19,1
26,drone4,20,13
26,drone5,23,15
26,drone6,13,24
27,drone1,4,9
27,drone2,18,8
27,drone3,18,1
27,drone4,20,12
27,drone5,23,16
27,drone6,12,24
28,drone1,3,9
28,drone2,19,8
28,drone3,17,1
28,drone4,20,11
28,drone5,22,16
28,drone6,11,24
29,drone1,2,9
29,drone2,19,9
29,drone3,16,1
29,drone4,19,11
29,drone5,21,16
29,drone6,10,24
30,drone1,1,9
30,drone2,20,9
30,drone3,15,1
30,drone4,18,11
30,drone5,20,16
30,drone6,9,24
31,drone1,0,9
31,drone2,20,10
31,drone3,14,1
31,drone4,17,11
31,drone5,19,16
31,drone6,8,24
32,drone1,0,10
32,drone2,21,10
32,drone3,13,1
32,drone4,16,11
32,drone5,18,16
32,drone6,7,24
33,drone1,1,10
33,drone2,22,10
33,drone3,12,1
33,drone4,15,11
33,drone5,17,16
33,drone6,6,24
34,drone1,2,10
34,drone2,23,10
34,drone3,11,1
34,drone4,14,11
34,drone5,16,16
34,drone6,5,24
35,drone1,3,10
35,drone2,24,10
35,drone3,10,1
35,drone4,13,11
35,drone5,15,16
35,drone6,4,24
36,drone1,4,10
36,drone2,24,11
36,drone3,9,1
36,drone4,12,11
36,drone5,14,16
36,drone6,3,24
37,drone1,5,10
37,drone2,23,11
